# this table lists all the cells recorded in CM. In order to be marked as
# healthy, a neuron needs to meet the following criteria:
# - spike height > 0 mV
# - resting potential < -60 mV
#
# the heat column is used to indicate whether the recording was done at room
# temperature (RT) or at an elevated temperature (H) that should be recorded
# in the ABF file. Sometimes these data were lost, in which case an override
# value can be supplied here
name cell class base.epoch healthy complex biocytin age heat drug isolate
20151218_1_3 effe5394-c3bc-429e-aacb-2a1fb4692475 fast 2 1 0 0 26 H syn colony
20151221_1_1 19c5d250-23c9-430d-8623-8bfff8637e9b onset 2 0 0 0 28 H apa colony
20160107_1_1 5bb3bbb6-54a5-4652-a9ae-46f1ec85221d onset 2 1 0 0 40 H ctx colony
20160107_2_1 de62d7b2-f8d1-4ea6-a33c-7d159b519fa4 onset 3 1 0 0 40 H ctx colony
20160111_1_1 22e1540d-2e77-4801-8ca2-c530c0624bcf trans 2 1 0 0 34 H ctx colony
20160112_1_1 bd70d45d-a7cf-4671-b323-8a30564b9ae8 burst 2 0 0 0 34 H apa colony
20160113_1_1 cd4c1d15-1020-4598-98a2-c2a0d3170bd7 onset 6 0 0 0 35 H apa colony
20160118_1_1 0757bce3-599c-4829-9fe9-ca93541f1f9d trans 2 0 0 0 39 H none colony
20160121_1_1 025f927b-9bbc-4bfa-b0c7-5929b9d1adb2 trans 2 1 0 0 40 H none colony
20160126_1_1 7844969f-114e-400d-abb5-4295ae8e8c49 fast 2 1 0 1 32 H none colony
20160127_1_1 1261f4ca-8e24-421f-a190-78521be76d17 onset 2 0 0 0 33 H none colony
20160127_2_1 f7f4be65-f402-4300-8094-3d8528e6fb0a onset 2 1 0 1 33 H none colony
20160128_1_1 8fc81abe-6c88-41b6-90dd-6d62953085f5 onset 2 1 1 0 34 H none colony
20160129_1_1 def76b8e-98c1-4f1e-a1ff-0f371c58a8d7 onset 6 0 0 0 31 H apa colony
20160202_2_1 2bf2d003-0bdf-4760-82a6-391aedcffb8b onset 2 0 0 0 25 H apa colony
20160202_2_3 2aa344f1-f270-493d-97da-b4bae4d9dbcf trans 2 1 0 0 25 H apa colony
20160202_2_4 40d7e3cf-cbce-41bf-86d7-af941860c0e0 onset 2 1 0 0 25 H ctx colony
20160203_1_2 4f877354-4f2d-4268-9972-aaf9c293ea94 burst 2 1 0 0 26 H none colony
20160203_1_5 a2f206a7-109c-4983-9e1f-4411751b2f58 trans 4 1 0 0 26 H ctx colony
20160203_1_6 5baba390-8812-41a1-9d79-cc1c9b0b6684 trans 2 1 0 0 26 H none colony
20160208_2_2 80e98fb0-cc34-48ea-b962-d9abbdb7c86a fast 2 1 0 1 30 H none colony
20160208_3_1 e6921bfc-02cc-45c3-92f9-4290aa363f7b fast 2 1 0 0 30 H none colony
20160209_1_1 4081bbb9-b2b4-4aac-a88d-77e42e435d6e onset 2 1 0 0 30 H apa colony
20160209_1_2 2307c085-f1ea-4046-82f7-9d51aac94b25 onset 2 1 0 0 30 H apa colony
20160408_1_2 e80759b0-c0cf-4d29-b792-12d337833eb2 onset 2 0 0 0 36 H 4ap colony
20160408_2_1 f4a5f2dd-b615-43c7-ae24-911b8b9a06b4 trans 2 1 0 0 36 H 4ap colony
20160414_1_1 b9741586-7275-4055-953e-8a0418329735 trans 3 1 0 0 37 H 4ap colony
20160415_1_2 b1f2c6f9-265c-4354-8a29-a336f7ea20ee fast 3 1 0 0 37 H 4ap colony
20160425_1_3 975f80e7-273c-4d28-b729-f074df7a37d7 trans 2 0 0 0 40 H 4ap colony
20160428_1_3 fc852787-fece-4513-ac8b-7bc85b1194e8 trans 2 1 0 0 40 H 4ap colony
20160428_2_2 4cb8d4b5-e9d1-4301-976e-0c4542aa491b trans 3 1 0 0 40 H 4ap colony
20160428_2_3 35e36b13-5629-4b3d-a612-b91359a39430 trans 3 1 0 0 40 H 4ap colony
20160428_3_1 4b9b9c1f-b35b-4148-84d4-6b87c1102a54 regular 2 1 0 0 40 H 4ap colony
20160429_1_2 af6676c8-4164-419c-a8fa-51546557588e trans 2 1 0 0 40 H 4ap colony
20160429_1_3 d0909720-35e3-4a0e-965a-2a5ea973822f regular 2 1 0 0 40 H syn colony
20160525_1_1 ef46665d-9c51-45b4-bbbd-6a2e2754c51f trans 3 1 0 0 34 H 4ap colony
20160525_2_1 3753f7e5-282a-4c4f-8aba-5bcaf191f2e0 regular 2 1 0 0 34 H 4ap colony
20160526_1_1 93641546-9203-46d5-828d-831303ebced8 regular 2 1 0 0 34 H 4ap colony
20160526_1_2 cccad228-5201-4ff7-8785-14861ef58f6b regular 2 1 0 0 34 H none colony
20160526_1_3 0e3b863f-c9f9-4ccf-b755-5ef0644d1c46 trans 3 1 0 0 34 H none colony
20160526_1_4 3fd58725-1692-42a8-a792-29c8df4ddcd0 fast 2 1 0 0 34 H none colony
20160526_1_5 00358d50-01a8-4c15-a05b-1acfea79c1fa irregular 2 1 0 0 34 H none colony
20160526_2_1 ce8b81a6-430b-4844-a153-9e32c7822ed6 trans 2 1 0 0 34 H none colony
20160526_2_2 1b729826-036b-4063-b8a8-54b40d774742 trans_burst 2 1 0 0 34 H 4ap colony
20160607_1_1 6ea3f7be-15f8-4064-bb34-1b5e9be2976f trans 3 0 0 0 36 H adtx colony
20160607_2_1 6781026c-1c86-4a1e-8bc1-9990953aa9e5 trans 2 1 0 0 36 H adtx colony
20160609_1_1 c014891b-bdf2-4a78-b697-e4a97b248fe5 regular 2 1 0 0 32 H none female
20160609_1_2 01f54c61-1bae-4049-9e7e-4d94b98f0007 regular 2 1 0 0 32 H none female
20160609_1_3 b32fb6e0-607a-4650-bc24-5275f7332e3b regular 2 1 0 0 32 H none female
20160609_2_1 2374b285-1f99-44dd-ba15-122055159917 regular 2 1 0 0 32 H none female
20160609_2_2 032dfb33-c27f-4b1b-bb52-9b3e8e447900 fast 2 1 0 0 32 H none female
20160610_1_1 7c100487-9b77-4903-b7a1-e9d48a93bf8e trans 2 0 0 0 33 H none female
20160610_2_1 f874fdbf-5c53-4b45-84ee-955e9405cf81 trans 2 1 0 0 33 H none female
20160610_3_2 6942c2cf-c5f0-4a17-87a4-7333b3818b7a trans 2 0 0 0 33 H none female
20160614_1_1 3c18f47a-dfaa-4e17-a47d-0a575da4399f trans 2 1 0 0 36 H none female
20160614_1_2 7f27e2b0-66ca-4f2b-b21b-0af0a15520dd regular 2 1 0 0 36 H none female
20160614_1_3 6f2e6ec0-84f6-4478-926a-0de52fd924a4 regular 2 1 0 0 36 H none female
